scenario,condition,unit_id,location,element,status,scoring_mode,ground_truth,candidate,log_evidence,decision,points,notes
1,baseline,base-S1-s01,step[0] spreadsheet.append.google_sheets,columns,differ,Exact,"{""message"":""{{email_object.body}}""}","{""message"":""{{$json.body}}""}",(single-shot; no dialogue),model_error,0,auto: exact mismatch = 0 | auto: baseline exact mismatch
1,baseline,base-S1-s02,step[0] spreadsheet.append.google_sheets,columns,differ,Exact,"{""message"":""{{email_object.body}}""}","{""message"":""{{$json.body}}""}",(single-shot; no dialogue),model_error,0,auto: exact mismatch = 0 | auto: baseline exact mismatch
1,baseline,base-S1-s03,step[0] spreadsheet.append.google_sheets,columns,differ,Exact,"{""message"":""{{email_object.body}}""}","{""message"":""{{$json.body}}""}",(single-shot; no dialogue),model_error,0,auto: exact mismatch = 0 | auto: baseline exact mismatch
1,pipeline,P1-S1,trigger,filters,differ,Exact,{},"{""subject"":""dorpshuis""}","[configuring_parameters] Q: ""Do you want to save every new email, or only emails that match certain conditions like from a specific person, with certain words in the subject, or with an attachment?"" -> A: ""only emails that match the word dorpshuis in the subject""",participant_divergence,0,auto: exact mismatch = 0 | manual: user added dorpshuis filter; card said every email
1,pipeline,P1-S1,trigger,pollTimes,differ,Adapter-valid,everyMinute,everyHour,"[configuring_parameters] Q: ""How often would you like Gmail to check for new emails — every minute, or a different schedule?"" -> A: ""every hour""",participant_divergence,1,auto: catalogue-valid | manual: researcher judgment
1,pipeline,P1-S1,step[0] spreadsheet.append.google_sheets,columns,differ,Exact,"{""message"":""{{email_object.body}}""}","{""message"":""{{email_object.subject}}\n\n{{email_object.body}}""}","[configuring_parameters] Q: ""Which column in your Sheet 1 should each matching email be added to?"" -> A: ""yes""",participant_divergence,0,auto: exact mismatch = 0 | manual: user chose subject+body; card said body only
1,pipeline,P1-S1,step[0] spreadsheet.append.google_sheets,sheetName,differ,Exact,Sheet1,Sheet 1,"[configuring_parameters] Q: ""Should I use “Sheet1” as the tab name, or did you mean “Sheet 1”?"" -> A: ""Sheet 1""",participant_divergence,0,"auto: exact mismatch = 0 | manual: user said ""Sheet 1"" (space); GT ""Sheet1"""
1,pipeline,P3-S1,trigger,pollTimes,differ,Adapter-valid,everyMinute,custom,"[configuring_parameters] Q: ""How often would you like Gmail to check for new emails — every minute, or a different schedule?"" -> A: ""custom schedule of 13 minutes""",participant_divergence,1,auto: catalogue-valid | manual: researcher judgment
1,pipeline,P3-S1,step[0] spreadsheet.append.google_sheets,sheetName,differ,Exact,Sheet1,sheet1,"[configuring_parameters] Q: ""Should I use Sheet1 as the tab name, or would you like to change it?"" -> A: ""use sheet1""",participant_divergence,0,"auto: exact mismatch = 0 | manual: user said ""sheet1"" (lowercase); GT ""Sheet1"""
2,baseline,base-S2-s01,trigger,pollTimes,differ,Adapter-valid,everyHour,everyMinute,(single-shot; no dialogue),adapter_valid_ok,1,auto: catalogue-valid
2,baseline,base-S2-s01,step[0] database.create_record.notion,propertiesUi,differ,Exact,"{""Sender"":""{{email_object.from}}"",""Email Body"":""{{email_object.body}}""}","{""Sender"":""{{$json.from}}"",""Email Body"":""{{$json.body}}""}",(single-shot; no dialogue),model_error,0,auto: exact mismatch = 0 | auto: baseline exact mismatch
2,baseline,base-S2-s01,step[1] email.send.gmail,message,differ,Semantic,The CEO of Acme Corp {{record_object.properties.Sender}} has reached out. Respond to them!,The CEO of Acme Corp has reached out from their email address {{$json.from}}. I would like you to respond to them.,(single-shot; no dialogue),match,1,manual: researcher judgment
2,baseline,base-S2-s01,step[1] email.send.gmail,subject,differ,Semantic,Respond to Customer,Please respond to Customer,(single-shot; no dialogue),match,1,manual: researcher judgment
2,baseline,base-S2-s02,trigger,pollTimes,differ,Adapter-valid,everyHour,everyMinute,(single-shot; no dialogue),adapter_valid_ok,1,auto: catalogue-valid
2,baseline,base-S2-s02,step[0] database.create_record.notion,propertiesUi,differ,Exact,"{""Sender"":""{{email_object.from}}"",""Email Body"":""{{email_object.body}}""}","{""Sender"":""{{$json.from}}"",""Email Body"":""{{$json.body}}""}",(single-shot; no dialogue),model_error,0,auto: exact mismatch = 0 | auto: baseline exact mismatch
2,baseline,base-S2-s02,step[1] email.send.gmail,message,differ,Semantic,The CEO of Acme Corp {{record_object.properties.Sender}} has reached out. Respond to them!,The CEO of Acme Corp has reached out from their email address ({{$json.from}}). I would like you to respond to them.,(single-shot; no dialogue),match,1,manual: researcher judgment
2,baseline,base-S2-s02,step[1] email.send.gmail,subject,differ,Semantic,Respond to Customer,Please respond to Customer,(single-shot; no dialogue),match,1,manual: researcher judgment
2,baseline,base-S2-s03,trigger,pollTimes,differ,Adapter-valid,everyHour,everyMinute,(single-shot; no dialogue),adapter_valid_ok,1,auto: catalogue-valid
2,baseline,base-S2-s03,step[0] database.create_record.notion,propertiesUi,differ,Exact,"{""Sender"":""{{email_object.from}}"",""Email Body"":""{{email_object.body}}""}","{""Sender"":""{{$json.from}}"",""Email Body"":""{{$json.body}}""}",(single-shot; no dialogue),model_error,0,auto: exact mismatch = 0 | auto: baseline exact mismatch
2,baseline,base-S2-s03,step[1] email.send.gmail,message,differ,Semantic,The CEO of Acme Corp {{record_object.properties.Sender}} has reached out. Respond to them!,The CEO of Acme Corp has reached out from their email address ({{$json.from}}). I would like you to respond to them.,(single-shot; no dialogue),match,1,manual: researcher judgment
2,baseline,base-S2-s03,step[1] email.send.gmail,subject,differ,Semantic,Respond to Customer,Please respond to Customer,(single-shot; no dialogue),match,1,manual: researcher judgment
2,pipeline,P1-S2,step[0] database.create_record.notion,title,differ,Exact,Mail,{{email_object.subject}},"[configuring_parameters] Q: ""Should I use the email’s subject line as the title for the new Notion entry, or would you like something different?"" -> A: ""emails subject line""",participant_divergence,0,auto: exact mismatch = 0 | manual: researcher judgment
2,pipeline,P1-S2,step[1] email.send.gmail,message,differ,Semantic,The CEO of Acme Corp {{record_object.properties.Sender}} has reached out. Respond to them!,The CEO of Acme Corp has reached out from {{email_object.from}}. I would like you to respond to them.,"[configuring_parameters] Q: ""Should the email message be: “The CEO of Acme Corp has reached out from [from]. I would like you to respond to them.”? Please confirm or correct it. (The bracketed parts — like [Expense name] — will be automatically replaced with the real values when the automation runs.)"" -> A: ""yes""",match,1,manual: researcher judgment
2,pipeline,P1-S2,step[1] email.send.gmail,subject,differ,Semantic,Respond to Customer,please respond to customer,"[configuring_parameters] Q: ""Should the subject line be “please respond to customer”, or would you like to change it?"" -> A: ""please respond to customer""",match,1,manual: researcher judgment
2,pipeline,P3-S2,trigger,pollTimes,differ,Adapter-valid,everyHour,custom,"[configuring_parameters] Q: ""How often would you like Gmail to check for new emails from ceo@acmecorp.com — every minute, or less often?"" -> A: ""every 15 minutes""",participant_divergence,1,auto: catalogue-valid | manual: researcher judgment
2,pipeline,P3-S2,step[0] database.create_record.notion,propertiesUi,differ,Exact,"{""Sender"":""{{email_object.from}}"",""Email Body"":""{{email_object.body}}""}","{""Sender"":""{{email_object.from}}"",""Email body"":""{{email_object.body}}""}","[configuring_parameters] Q: ""What details should I save in the new Notion entry, and which database fields should each detail go into?"" -> A: ""the email adress in the ' sender' field and the email body into the ' email body' field. also dont put the senders email adress in the entry title anymore""",system_error,0,"auto: exact mismatch = 0 | manual: property key casing ""Email body"" != schema ""Email Body"""
2,pipeline,P3-S2,step[0] database.create_record.notion,title,differ,Exact,Mail,{{email_object.subject}},"[configuring_parameters] Q: ""Should I use the email’s subject line as the title for the new Notion entry, or would you like something different?"" -> A: ""both""",participant_divergence,0,auto: exact mismatch = 0 | manual: researcher judgment
2,pipeline,P3-S2,step[1] email.send.gmail,message,differ,Semantic,The CEO of Acme Corp {{record_object.properties.Sender}} has reached out. Respond to them!,"the CEO of Acme corp has reached out from their email address, I would like you to respond to them. Include the sender’s email address in the message body.","[configuring_parameters] Q: ""Should the email message be: “the CEO of Acme corp has reached out from their email address, I would like you to respond to them. Include the sender’s email address in the message body.”?"" -> A: ""yes""",system_error,0,manual: leaked instruction text; sender email not actually referenced
2,pipeline,P3-S2,step[1] email.send.gmail,subject,differ,Semantic,Respond to Customer,please respond to customer,"[configuring_parameters] Q: ""Should the subject line be “please respond to customer”, or would you like to change it?"" -> A: ""thats it""",match,1,manual: researcher judgment
3,baseline,base-S3-s01,trigger,pollTimes,differ,Adapter-valid,everyHour,everyMinute,(single-shot; no dialogue),adapter_valid_ok,1,auto: catalogue-valid
3,baseline,base-S3-s01,step[0] email.send.gmail,message,differ,Semantic,An expense has been added to the expenses sheet. The name is {{row_object.row['Expense name']}} and the amount is {{row_object.row['Expense amount']}} and the date is {{row_object.row['Expense date']}},"An expense has been added to the expenses sheet. The name is {{$json.row[""Expense name""]}}, the amount is {{$json.row[""Expense amount""]}}, and the date is {{$json.row[""Expense date""]}}.",(single-shot; no dialogue),match,1,manual: researcher judgment
3,baseline,base-S3-s01,step[1] email.label.gmail,messageId,differ,Exact,{{send_result.messageId}},{{$json.messageId}},(single-shot; no dialogue),model_error,0,auto: exact mismatch = 0 | auto: baseline exact mismatch
3,baseline,base-S3-s02,trigger,pollTimes,differ,Adapter-valid,everyHour,everyMinute,(single-shot; no dialogue),adapter_valid_ok,1,auto: catalogue-valid
3,baseline,base-S3-s02,step[0] email.send.gmail,message,differ,Semantic,An expense has been added to the expenses sheet. The name is {{row_object.row['Expense name']}} and the amount is {{row_object.row['Expense amount']}} and the date is {{row_object.row['Expense date']}},"An expense has been added to the expenses sheet. The name is {{$json.row[""Expense name""]}}, the amount is {{$json.row[""Expense amount""]}}, and the date is {{$json.row[""Expense date""]}}.",(single-shot; no dialogue),match,1,manual: researcher judgment
3,baseline,base-S3-s02,step[1] email.label.gmail,messageId,differ,Exact,{{send_result.messageId}},{{$json.messageId}},(single-shot; no dialogue),model_error,0,auto: exact mismatch = 0 | auto: baseline exact mismatch
3,baseline,base-S3-s03,trigger,pollTimes,differ,Adapter-valid,everyHour,everyMinute,(single-shot; no dialogue),adapter_valid_ok,1,auto: catalogue-valid
